Date,Link,OptionText
2025-08-13 20:30:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:7361265650821935105,Jag är mästerfixaren själv 🛠️
2025-08-10 19:38:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7360022228656078848,💯 El ⚡️
2024-08-26 14:55:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:7233797527727165443,72%
2024-08-24 10:58:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:7231581932243869697,För barn och unga (6-17 år)
2024-04-23 21:05:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:7186642177798594560,"Ja, 4-7 ggr/vecka"
2024-03-22 11:07:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7176847160888442880,Den känns som en MÖJLIGHET?
2024-03-07 21:34:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:7170507920713867264,Det skadar inte förtroendet
2023-10-18 18:36:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:7120474408413986816,Hur tänkte du nu? 🤔
2023-09-21 09:36:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:7109479526732050432,... do you Mind?
2023-09-15 11:56:22,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7107744105610317824,Yes
2023-09-04 16:25:34,https://www.linkedin.com/feed/update/urn:li:groupPost:2172821-7102748683904929792,No
2023-08-24 11:56:43,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7100149621036871680,No
2023-08-01 17:30:25,https://www.linkedin.com/feed/update/urn:li:groupPost:2172821-7092059749659082752,Electric Bikes
2023-07-24 06:09:09,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7088154055289581568,Half a page.
2023-06-26 14:40:39,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7079029909385330689,Almost Never
2023-06-25 18:40:46,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7075618752003809280,Comute time saving
2023-06-25 18:40:09,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7077967788903981056,hybrid
2023-06-17 11:39:33,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7075153691137208320,Yes
2023-06-13 00:23:58,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7074030588239704065,Smartphone
2023-05-22 14:24:25,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7065287073464750080,No!
2023-05-17 07:00:54,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7064130031601500160,Positive impact on society
2023-04-24 20:32:16,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7056300697780117504,Nope 👎
2023-04-07 17:04:39,https://www.linkedin.com/feed/update/urn:li:groupPost:2172821-7050032149684494336,Málaga ⛳🚴‍♀️
2022-09-13 02:33:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6973160184596570112,Handlar även i oroliga tider
2022-02-25 07:39:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:6902872244540846080,Den är perfekt! 👍🏼
2022-01-05 15:36:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6884050327675404289,Ja
2022-01-04 07:11:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:6883877833530187776,Ja absolut
2022-01-03 11:01:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6883677498199052288,Shift to the Metaverse
2022-01-03 11:01:31,https://www.linkedin.com/feed/update/urn:li:ugcPost:6883014199967043584,Reduce digital complexity
2021-12-31 11:34:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6882397439916158976,Coach your kids to use tech
2021-12-14 13:26:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6875188033960996864,"Självklart, mycket!"
2021-12-03 20:48:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:6872537032980275200,Nej
2021-11-15 21:26:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6865934530381975553,1995
2021-10-12 14:19:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:6853562875919904769,2. Nej
2021-10-02 18:00:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6849705497910657024,40-60%
2021-08-26 09:33:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:6836577329460912128,Very worried
2021-06-17 17:30:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6811329141468622848,Ja 👍
2021-04-18 20:34:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6789076741408202752,"Good decision,⚡️ is the future"
2021-04-08 07:52:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:6784885641114079232,Minecraft players
